Prompt_Type,Pair_Index,Step_Index,Token_ID,Token_Text,Prefix_Text,Generated_Text,Species_ID,Species_Name,Occupation,Delta_Occupation,Grounded_Baseline_Occupation,Grounded_Deviation,Mode_Activation_Shift,Top_Token_Confidence,Spin_t,Mass_t,Mass_Lat_t,Momentum_t,Helicity_t,Group_Velocity_t,FP_Layer_t,gamma_t,Z_t,Resonance_Width_t,Fusion_Strength_t,Fusion_Rate_t
grounded_factual,0,0,781,\n,"Explain in detail the geographical location of Paris, including its position relative to major bodies of water and neighboring historical regions:
","
",0,I_0,293.3285217285156,293.3285217285156,293.1038848876953,0.22463684082032387,0.44184415568882224,0.43976762890815735,1.8907248973846436,0.12749959528446198,0.031587738543748856,0.0,0.12121210247278214,0.0,14.0,0.07473372668027878,30.530004501342773,3.141592653589793,0.0,0.0
grounded_factual,0,0,781,\n,"Explain in detail the geographical location of Paris, including its position relative to major bodies of water and neighboring historical regions:
","
",23,I_23,9.384899139404297,9.384899139404297,9.310669898986816,0.07422924041748047,0.6061614481853792,0.43976762890815735,1.5329567193984985,0.1198454275727272,0.025627560913562775,3.1415927410125732,1.5329567193984985,0.0,30.0,2.406222105026245,25.858936309814453,3.141592653589793,0.0,0.0
grounded_factual,0,0,781,\n,"Explain in detail the geographical location of Paris, including its position relative to major bodies of water and neighboring historical regions:
","
",1,I_1,2.9590704441070557,2.9590704441070557,3.0439212799072264,-0.08485083580017072,0.5677563430862971,0.43976762890815735,0.9951719641685486,0.11967998743057251,0.0495922714471817,3.1415927410125732,0.14222067594528198,0.0,25.0,2.3564507961273193,21.79248046875,3.141592653589793,0.0,0.0
grounded_factual,0,0,781,\n,"Explain in detail the geographical location of Paris, including its position relative to major bodies of water and neighboring historical regions:
","
",5,I_5,2.862201452255249,2.862201452255249,3.2724547028541564,-0.4102532505989074,0.5677563430862971,0.43976762890815735,0.9951719641685486,0.11967998743057251,0.0495922714471817,3.1415927410125732,0.14222067594528198,0.0,25.0,2.3564507961273193,21.79248046875,3.141592653589793,0.0,0.0
grounded_factual,0,0,781,\n,"Explain in detail the geographical location of Paris, including its position relative to major bodies of water and neighboring historical regions:
","
",3,I_3,2.4944536685943604,2.4944536685943604,2.560173424807462,-0.06571975621310155,0.5677563430862971,0.43976762890815735,0.9951719641685486,0.11967998743057251,0.0495922714471817,3.1415927410125732,0.14222067594528198,0.0,25.0,2.3564507961273193,21.79248046875,3.141592653589793,0.0,0.0
grounded_factual,0,1,781,\n,"Explain in detail the geographical location of Paris, including its position relative to major bodies of water and neighboring historical regions:

","

",0,I_0,293.3301086425781,0.0015869140625,293.2052917480469,0.12481689453125,0.39549906273656565,0.6936900615692139,1.8913434743881226,0.11795750260353088,0.032254453748464584,0.0,0.0,0.0,14.0,0.07478569447994232,20.168668746948242,3.141592653589793,0.0,0.0
grounded_factual,0,1,781,\n,"Explain in detail the geographical location of Paris, including its position relative to major bodies of water and neighboring historical regions:

","

",1,I_1,2.968386173248291,0.009315729141235352,2.968436586856842,-5.0413608550847755e-05,0.5739821212487766,0.6936900615692139,0.9577517509460449,0.11543646454811096,0.08610444515943527,3.1415927410125732,0.13793408870697021,0.0,25.0,2.4250738620758057,21.653270721435547,3.141592653589793,0.0,0.0
grounded_factual,0,1,781,\n,"Explain in detail the geographical location of Paris, including its position relative to major bodies of water and neighboring historical regions:

","

",5,I_5,2.8659303188323975,0.0037288665771484375,3.118992602825165,-0.2530622839927674,0.5739821212487766,0.6936900615692139,0.9577517509460449,0.11543646454811096,0.08610444515943527,3.1415927410125732,0.13793408870697021,0.0,25.0,2.4250738620758057,21.653270721435547,3.141592653589793,0.0,0.0
grounded_factual,0,1,781,\n,"Explain in detail the geographical location of Paris, including its position relative to major bodies of water and neighboring historical regions:

","

",3,I_3,2.552511692047119,0.05805802345275879,2.51749324798584,0.0350184440612793,0.5897404210763522,0.6936900615692139,0.9577517509460449,0.11543646454811096,0.08610444515943527,3.1415927410125732,0.13793408870697021,0.0,25.0,2.4250738620758057,21.653270721435547,3.141592653589793,0.0,0.0
grounded_factual,0,1,781,\n,"Explain in detail the geographical location of Paris, including its position relative to major bodies of water and neighboring historical regions:

","

",4,I_4,2.5484933853149414,2.5484933853149414,2.561387777328491,-0.012894392013549805,0.5739821212487766,0.6936900615692139,0.9577517509460449,0.11543646454811096,0.08610444515943527,3.1415927410125732,0.13793408870697021,0.0,25.0,2.4250738620758057,21.653270721435547,3.141592653589793,0.0,0.0
